district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
alappuzha,Nedumudy,₹1.42 Cr,14200000,"24,829 sqft",24829,,571.9118772,56.99954086,249124.8137
alappuzha,Punnapra,₹37.5 Lac,3750000,"2,722 sqft",2722,,1377.663483,6.248852158,600110.2131
alappuzha,Venmony,₹25 Lac,2500000,"6,969 sqft",6969,,358.7315253,15.99862259,156263.4524
alappuzha,Punnapra,₹27.5 Lac,2750000,6 sqft,6,,458333.3333,0.013774105,199650000
alappuzha,Cherthala,₹20 Lac,2000000,"4,138 sqft",4138,,483.3252779,9.499540863,210536.4911
alappuzha,Kayamkulam,₹75 Lac,7500000,"11,325 sqft",11325,,662.2516556,25.99862259,288476.8212
alappuzha,Chengannur,₹3.12 Cr,31200000,"10,454 sqft",10454,,2984.503539,23.99908173,1300049.742
alappuzha,Thumpoly,₹1 Cr,10000000,"11,478 sqft",11478,,871.2319219,26.34986226,379508.6252
alappuzha,Mannanchery,₹50 Lac,5000000,"3,593 sqft",3593,,1391.594768,8.248393021,606178.6808
alappuzha,,₹3.52 Cr,35200000,"11,761 sqft",11761,,2992.942777,26.99954086,1303725.874
alappuzha,Mavelikara,₹33.75 Lac,3375000,"5,880 sqft",5880,,573.9795918,13.49862259,250025.5102
alappuzha,Panavally,₹95 Lac,9500000,"9,583 sqft",9583,,991.3388292,21.99954086,431827.194
alappuzha,Cherthala,₹1.8 Cr,18000000,"52,272 sqft",52272,,344.3526171,120,150000
alappuzha,Mavelikara,₹1.4 Cr,14000000,"4,207 sqft",4207,,3327.787022,9.657943067,1449584.027
alappuzha,Mavelikara,₹70 Lac,7000000,"23,958 sqft",23958,,292.1779781,55,127272.7273
alappuzha,Thanneermukkom,₹65 Lac,6500000,"28,314 sqft",28314,,229.5684114,65,100000
alappuzha,Kuttanad Taluk,₹45 Lac,4500000,"26,136 sqft",26136,,172.1763085,60,75000
alappuzha,Mararikulam,₹16 Lac,1600000,"2,178 sqft",2178,,734.6189164,5,320000
alappuzha,Cherthala,₹1.6 Cr,16000000,"85,377 sqft",85377,,187.4041018,195.9986226,81633.22675
alappuzha,Chengannur,₹1.2 Cr,12000000,"34,848 sqft",34848,,344.3526171,80,150000
alappuzha,Mulakuzha,₹45 Lac,4500000,"7,840 sqft",7840,,573.9795918,17.99816345,250025.5102
alappuzha,Charummoodu,₹2 Cr,20000000,"21,780 sqft",21780,,918.2736455,50,400000
alappuzha,Haripad,₹13 Lac,1300000,"4,356 sqft",4356,,298.4389348,10,130000
